Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit short,2025-11-26 23:00,S-X,4212.1,3,127038,675,0.53,675,0.53,-54,-0.04,675,0.45
1,Entry short,2025-11-26 18:45,2CiC Stage3 LMT,4234.6,3,127038,675,0.53,675,0.53,-54,-0.04,675,0.45
2,Exit short,2025-11-27 19:30,S-X,4243.6,3,127038,-270,-0.21,525,0.41,-270,-0.21,405,0.27
2,Entry short,2025-11-27 03:15,2CiC Stage3 LMT,4234.6,3,127038,-270,-0.21,525,0.41,-270,-0.21,405,0.27
