Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit short,2025-07-24 22:45,S-X,3495.1,4,140172,368,0.26,368,0.26,-24,-0.02,368,0.25
1,Entry short,2025-07-24 21:45,2CiC Stage3 LMT,3504.3,4,140172,368,0.26,368,0.26,-24,-0.02,368,0.25
