Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit short,2025-09-11 05:00,S-X,3732,3,112635,675,0.60,675,0.60,-33,-0.03,675,0.45
1,Entry short,2025-09-10 22:00,2CiC Stage3 LMT,3754.5,3,112635,675,0.60,675,0.60,-33,-0.03,675,0.45
