Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit short,2025-06-03 21:30,S-X,3523.8,4,140444,-508,-0.36,912,0.65,-508,-0.36,-508,-0.34
1,Entry short,2025-06-03 08:30,2CiC Stage3 LMT,3511.1,4,140444,-508,-0.36,912,0.65,-508,-0.36,-508,-0.34
2,Exit short,2025-06-06 15:45,S-X,3464.9,4,140436,1840,1.31,1840,1.31,-180,-0.13,1332,0.89
2,Entry short,2025-06-06 08:45,2CiC Stage3 LMT,3510.9,4,140436,1840,1.31,1840,1.31,-180,-0.13,1332,0.89
3,Exit short,2025-06-20 08:30,S-X,3491.5,4,140100,440,0.31,440,0.31,-16,-0.01,1772,1.18
3,Entry short,2025-06-20 07:00,2CiC Stage3 LMT,3502.5,4,140100,440,0.31,440,0.31,-16,-0.01,1772,1.18
4,Exit short,2025-06-20 09:30,S-X,3506.9,4,140100,-176,-0.13,0,0.00,-176,-0.13,1596,1.06
4,Entry short,2025-06-20 09:15,2CiC Stage3 LMT,3502.5,4,140100,-176,-0.13,0,0.00,-176,-0.13,1596,1.06
