Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit short,2025-04-14 06:15,S-X,3389.7,4,136496,908,0.67,908,0.67,-308,-0.23,908,0.61
1,Entry short,2025-04-13 21:30,2CiC Stage3 LMT,3412.4,4,136496,908,0.67,908,0.67,-308,-0.23,908,0.61
2,Exit short,2025-04-23 09:30,S-X,3460.9,4,140076,1640,1.17,1640,1.17,-100,-0.07,2548,1.70
2,Entry short,2025-04-23 08:15,2CiC Stage3 LMT,3501.9,4,140076,1640,1.17,1640,1.17,-100,-0.07,2548,1.70
3,Exit short,2025-04-23 21:15,S-X,3518.3,4,140076,-656,-0.47,196,0.14,-656,-0.47,1892,1.26
3,Entry short,2025-04-23 20:15,2CiC Stage3 LMT,3501.9,4,140076,-656,-0.47,196,0.14,-656,-0.47,1892,1.26
